stock_id,report_period,announcement_datetime,effective_trade_date,revenue,revenue_yoy,revenue_mom,gross_margin,operating_margin,eps,roe,debt_ratio,free_cash_flow,pe_ratio,pb_ratio,dividend_yield,updated_at
1216,2026-07-01,2026-07-28T00:00:00,2026-07-29,58301112000.0,0.045984644700056476,-0.014856674941093218,,,,,,,20.84,3.03,3.89,2026-07-28T16:07:28.109079+08:00
1303,2026-07-01,2026-07-28T00:00:00,2026-07-29,27134592000.0,0.3178610669429578,-0.05883913354043924,,,,,,,75.32,3.6,0.46,2026-07-28T16:07:28.489860+08:00
2059,2026-07-01,2026-07-28T00:00:00,2026-07-29,4442581000.0,2.2052305812021435,0.17178210235372915,,,,,,,72.94,25.01,0.62,2026-07-28T16:07:28.854071+08:00
2301,2026-07-01,2026-07-28T00:00:00,2026-07-29,18655552000.0,0.36975015923654575,0.07502123903667801,,,,,,,31.18,5.46,2.36,2026-07-28T16:07:29.324313+08:00
2303,2026-07-01,2026-07-28T00:00:00,2026-07-29,23124962000.0,0.228543590392003,0.007897878965321903,,,,,,,31.66,3.9,2.07,2026-07-28T16:07:29.709642+08:00
2308,2026-07-01,2026-07-28T00:00:00,2026-07-29,65602611000.0,0.5542638489110967,0.11262872038017413,,,,,,,64.71,15.22,0.66,2026-07-28T16:07:30.089887+08:00
2317,2026-07-01,2026-07-28T00:00:00,2026-07-29,821762936000.0,0.5211164672139996,-0.04380496645130105,,,,,,,17.97,1.99,2.83,2026-07-28T16:07:30.489461+08:00
2327,2026-07-01,2026-07-28T00:00:00,2026-07-29,15359009000.0,0.38913968176157177,0.019975070094606195,,,,,,,49.21,7.7,0.96,2026-07-28T16:07:30.866090+08:00
2330,2026-07-01,2026-07-28T00:00:00,2026-07-29,442679969000.0,0.6786685548491262,0.06164589232380724,,,,,,,31.59,10.34,0.94,2026-07-28T16:07:31.234758+08:00
2344,2026-07-01,2026-07-28T00:00:00,2026-07-29,20596799000.0,1.8987676071204795,0.029765600923613356,,,,,,,47.48,6.17,0.31,2026-07-28T16:07:31.602532+08:00
2345,2026-07-01,2026-07-28T00:00:00,2026-07-29,39554529000.0,0.6116410559844034,0.38192072603216776,,,,,,,42.36,19.17,0.67,2026-07-28T16:07:31.979257+08:00
2357,2026-07-01,2026-07-28T00:00:00,2026-07-29,106723044000.0,0.5563419226510211,0.5446064913130955,,,,,,,13.58,1.97,5.53,2026-07-28T16:07:32.366819+08:00
